,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,69.04,57,77,20.09,PF,1627939125
1,Puerto Ayora,-0.7393,-90.3518,78.76,82,72,11.95,EC,1627939282
2,Uvat,59.1433,68.8953,57.27,90,71,6.02,RU,1627939387
3,Ust'-Omchug,61.15,149.6333,41.61,63,9,7.27,RU,1627939387
4,Port Alfred,-33.5906,26.891,58.3,80,46,20.62,ZA,1627939264
5,Chui,-33.6971,-53.4616,51.37,93,25,6.06,UY,1627939388
6,Harper,4.375,-7.7169,76.15,77,12,6.96,LR,1627939388
7,Riyadh,24.6877,46.7219,91.54,9,21,11.01,SA,1627939152
8,Lodja,-3.4833,23.4333,74.68,37,97,0.45,CD,1627939226
9,Makakilo City,21.3469,-158.0858,82.72,52,20,13.8,US,1627939299
10,Dikson,73.5069,80.5464,50.4,78,94,10.83,RU,1627939291
11,Sibolga,1.7427,98.7792,76.15,84,99,3.06,ID,1627939390
12,Ushuaia,-54.8,-68.3,42.46,61,75,3.44,AR,1627939196
13,Poso,-1.3959,120.7524,76.17,88,93,5.23,ID,1627939390
14,Kapaa,22.0752,-159.319,84.52,77,20,7.0,US,1627939159
15,Mar del Plata,-38.0023,-57.5575,56.08,59,0,5.01,AR,1627939102
16,Palmer,42.1584,-72.3287,79.97,48,20,4.0,US,1627939215
17,Hilo,19.7297,-155.09,80.33,75,90,5.75,US,1627939217
18,Atuona,-9.8,-139.0333,77.58,76,28,18.19,PF,1627939134
19,Pangnirtung,66.1451,-65.7125,48.2,93,75,14.97,CA,1627939360
20,Inírida,3.8653,-67.9239,74.59,93,96,2.21,CO,1627939392
21,Khatanga,71.9667,102.5,62.94,64,74,9.95,RU,1627939338
22,Alofi,-19.0595,-169.9187,76.89,73,40,11.5,NU,1627939196
23,Mataura,-46.1927,168.8643,43.48,97,100,2.42,NZ,1627939289
24,Baykit,61.67,96.37,59.61,76,100,3.76,RU,1627939156
25,Talnakh,69.4865,88.3972,65.1,54,100,4.41,RU,1627939313
26,Qaanaaq,77.484,-69.3632,45.28,66,100,4.38,GL,1627939285
27,Qui Nhon,13.7667,109.2333,84.56,67,100,13.69,VN,1627939394
28,Cape Town,-33.9258,18.4232,57.11,92,0,2.3,ZA,1627939225
29,San Juan,-31.5375,-68.5364,71.87,16,0,5.99,AR,1627939394
30,Nelson,-41.2833,173.2833,50.29,94,100,1.99,NZ,1627939395
31,Comarapa,-17.9,-64.4833,59.27,54,68,6.51,BO,1627939395
32,Bredasdorp,-34.5322,20.0403,57.27,93,20,3.44,ZA,1627939066
33,Saint George,37.1041,-113.5841,103.24,22,1,4.0,US,1627939288
34,Port Elizabeth,-33.918,25.5701,57.49,82,75,12.66,ZA,1627939122
35,Kamaishi,39.2667,141.8833,76.44,95,98,9.26,JP,1627939205
36,Mahē,11.7,75.5333,76.55,84,81,2.37,IN,1627939396
37,Turan,16.0678,108.2208,87.85,55,40,3.44,VN,1627939277
38,Caravelas,-17.7125,-39.2481,67.68,70,67,5.44,BR,1627939286
39,Kharan,28.5833,65.4167,88.77,10,59,4.43,PK,1627939167
40,Saint-Philippe,-21.3585,55.7679,66.22,68,15,1.92,RE,1627939151
41,Alice Springs,-23.7,133.8833,40.55,48,0,4.61,AU,1627939144
42,Albany,42.6001,-73.9662,78.85,49,16,3.0,US,1627939148
43,Lata,40.1629,-8.3327,68.04,85,18,3.49,PT,1627939398
44,Grindavik,63.8424,-22.4338,53.91,87,75,10.36,IS,1627939240
45,Villa Carlos Paz,-31.4241,-64.4978,66.25,31,0,7.0,AR,1627939215
46,Barrow,71.2906,-156.7887,44.62,81,90,20.71,US,1627939136
47,Biggar,55.6167,-3.5167,55.72,91,66,1.21,GB,1627939399
48,Ribeira Grande,38.5167,-28.7,73.36,92,44,7.87,PT,1627939275
49,St. Pete Beach,27.7253,-82.7412,92.07,70,20,1.99,US,1627939392
50,Castro,-24.7911,-50.0119,53.31,81,0,2.8,BR,1627939296
51,Hermanus,-34.4187,19.2345,57.79,90,3,10.0,ZA,1627939311
52,Barreiras,-12.1528,-44.99,77.56,30,70,5.7,BR,1627939308
53,Flin Flon,54.7682,-101.865,89.44,25,20,5.75,CA,1627939283
54,Cerrito,6.8432,-72.694,56.59,90,100,3.96,CO,1627939400
55,Northam,51.0333,-4.2167,58.3,91,34,7.83,GB,1627939401
56,Yasnyy,51.0333,59.8742,73.53,41,7,8.77,RU,1627939401
57,Nanortalik,60.1432,-45.2371,45.95,88,95,1.95,GL,1627939402
58,Airai,-8.9266,125.4092,55.51,79,62,3.42,TL,1627939376
59,San Cristobal,7.7669,-72.225,82.58,88,100,6.49,VE,1627939141
60,Longyearbyen,78.2186,15.6401,46.24,76,75,19.57,SJ,1627939166
61,Sinnamary,5.3833,-52.95,79.83,83,54,8.28,GF,1627939402
62,Province of Mantua,45.1667,10.7833,70.75,84,58,3.0,IT,1627939403
63,Ilulissat,69.2167,-51.1,60.82,39,75,9.22,GL,1627939174
64,Vaini,-21.2,-175.2,73.56,73,40,12.66,TO,1627939310
65,Olafsvik,64.8945,-23.7142,53.31,81,100,4.18,IS,1627939237
66,Qaqortoq,60.7167,-46.0333,54.1,92,92,7.2,GL,1627939310
67,Vila do Maio,15.1333,-23.2167,79.59,78,65,6.91,CV,1627939404
68,Bluff,-46.6,168.3333,43.81,69,100,10.16,NZ,1627939225
69,Tadine,-21.55,167.8833,68.85,65,7,7.99,NC,1627939404
70,Tiksi,71.6872,128.8694,49.6,65,94,4.23,RU,1627939243
71,Punta Arenas,-53.15,-70.9167,41.02,81,40,29.93,CL,1627939204
72,Torbay,47.6666,-52.7314,68.76,66,90,8.05,CA,1627939200
73,Broken Hill,-31.95,141.4333,42.26,87,6,14.5,AU,1627939405
74,Anlu,31.1661,112.5831,78.17,92,6,7.14,CN,1627939406
75,Adamovka,51.5223,59.9396,72.72,42,26,7.67,RU,1627939406
76,Dingle,10.9995,122.6711,79.0,85,100,9.89,PH,1627939158
77,Busselton,-33.65,115.3333,54.1,76,100,7.31,AU,1627939278
78,Moranbah,-22.0016,148.0466,55.89,55,2,2.46,AU,1627939407
79,Port-Gentil,-0.7193,8.7815,75.16,83,20,4.61,GA,1627939407
80,New Norfolk,-42.7826,147.0587,42.91,81,100,2.46,AU,1627939279
81,Tulagi,-9.0996,160.1476,79.9,76,26,19.73,SB,1627939408
82,Copiapó,-27.3667,-70.3333,55.09,38,0,5.95,CL,1627939220
83,Broome,42.2506,-75.833,75.18,51,1,4.0,US,1627939187
84,Antofagasta,-23.65,-70.4,58.28,67,1,4.27,CL,1627939321
85,Bilibino,68.0546,166.4372,36.36,76,100,14.52,RU,1627939409
86,Tual,-5.6667,132.75,81.21,74,95,18.37,ID,1627939261
87,Cidreira,-30.1811,-50.2056,55.02,81,0,5.93,BR,1627939410
88,George Town,5.4112,100.3354,81.9,88,20,3.44,MY,1627939316
89,Butaritari,3.0707,172.7902,82.76,71,29,5.37,KI,1627939132
90,Marawi,7.9986,124.2928,68.65,88,97,6.35,PH,1627939247
91,Vila Velha,-20.3297,-40.2925,73.96,77,0,1.14,BR,1627939003
92,Berlevåg,70.8578,29.0864,48.15,76,0,0.0,NO,1627939368
93,Bereda,43.2686,-7.5406,60.55,95,7,3.38,ES,1627939219
94,Vardø,70.3705,31.1107,47.95,87,0,4.61,NO,1627939195
95,Beloha,-25.1667,45.05,63.32,82,0,4.47,MG,1627939219
96,Thompson,55.7435,-97.8558,77.16,47,20,5.75,CA,1627939281
97,Gizo Government Station,-8.103,156.8419,79.99,82,86,13.02,SB,1627939329
98,Coahuayana Viejo,18.7333,-103.6833,92.68,61,99,7.29,MX,1627939338
99,Cabo San Lucas,22.8909,-109.9124,101.8,49,75,17.27,MX,1627939412
100,Ancud,-41.8697,-73.8203,54.93,97,100,4.05,CL,1627939188
101,Ismailia,30.6043,32.2723,80.71,55,0,5.82,EG,1627939413
102,Balabac,7.9868,117.0645,84.0,78,100,17.22,PH,1627939413
103,Saint Paul Harbor,57.79,-152.4072,54.91,82,90,6.91,US,1627939294
104,Avera,33.194,-82.5271,93.9,35,14,4.32,US,1627939414
105,Codrington,-38.2667,141.9667,42.03,94,100,9.19,AU,1627939295
106,Bathsheba,13.2167,-59.5167,84.81,74,20,9.22,BB,1627939414
107,Upernavik,72.7868,-56.1549,46.98,67,14,1.88,GL,1627939289
108,Hobart,-42.8794,147.3294,43.27,88,75,6.91,AU,1627939062
109,Roebourne,-20.7833,117.1333,59.72,26,7,17.22,AU,1627939415
110,Uusikaupunki,60.8004,21.4084,57.72,87,97,10.11,FI,1627939415
111,Laas,46.6166,10.7002,60.71,91,51,3.11,IT,1627939416
112,Bengkulu,-3.8004,102.2655,75.13,89,50,3.56,ID,1627939416
113,Pahrump,36.2083,-115.9839,102.61,14,1,3.0,US,1627939417
114,Provideniya,64.3833,-173.3,51.91,82,90,13.42,RU,1627939417
115,Abonnema,4.7084,6.7931,77.23,86,100,6.64,NG,1627939418
116,Severo-Kuril'sk,50.6789,156.125,50.7,79,96,21.54,RU,1627939307
117,Jamestown,42.097,-79.2353,73.02,47,20,5.01,US,1627939148
118,Constitución,-35.3333,-72.4167,60.12,63,0,10.96,CL,1627939162
119,Chokwé,-24.5333,32.9833,66.72,79,52,9.75,MZ,1627939419
120,Buala,-8.145,159.5921,78.84,84,55,6.64,SB,1627939419
121,Ossora,59.2353,163.0719,53.58,58,59,12.97,RU,1627939420
122,Boca do Acre,-8.7522,-67.3978,92.93,21,0,4.18,BR,1627939420
123,Kaitangata,-46.2817,169.8464,46.92,64,100,9.64,NZ,1627939130
124,Pangody,65.85,74.4859,60.91,69,99,5.28,RU,1627939420
125,Mirny,62.5353,113.9611,55.0,75,61,4.21,RU,1627939421
126,Abalak,58.1286,68.5944,61.52,74,99,4.81,RU,1627939421
127,Capaci,38.1711,13.2393,84.51,81,0,11.5,IT,1627939422
128,Shigony,53.3875,48.6777,74.61,50,31,3.89,RU,1627939422
129,Guaymas,27.9333,-110.9,99.88,63,40,17.27,MX,1627939423
130,Callosa de Segura,38.125,-0.8782,77.68,75,61,1.01,ES,1627939423
131,Faanui,-16.4833,-151.75,79.45,73,45,16.35,PF,1627939328
132,Marzuq,14.4,46.4667,82.69,53,97,3.44,YE,1627939424
133,Bismarck,46.8083,-100.7837,91.87,28,1,3.0,US,1627939276
134,Ndungu,-4.3667,38.05,65.8,85,49,0.56,TZ,1627939424
135,Manono,-7.3,27.4167,75.2,35,4,5.32,CD,1627939425
136,Hong Kong,22.2855,114.1577,85.32,89,100,1.01,HK,1627939047
137,Shizunai-furukawachō,42.3339,142.3669,73.92,90,100,6.33,JP,1627939425
138,Gonder,12.6,37.4667,56.14,95,97,1.5,ET,1627939426
139,Hamilton,39.1834,-84.5333,79.88,51,40,1.01,US,1627939133
140,Mayor Pablo Lagerenza,-19.9309,-60.7718,79.59,24,1,5.82,PY,1627939426
141,Borogontsy,62.6683,131.1683,63.0,67,95,5.64,RU,1627939239
